"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chennapragada A.; Periyakoil D.; Das H.P.; Spanos C.J.","Chennapragada, Aniruddh (57795684500); Periyakoil, Divya (57218271087); Das, Hari Prasanna (57208125988); Spanos, Costas J. (7004447999)","57795684500; 57218271087; 57208125988; 7004447999","Time series-based deep learning model for personal thermal comfort prediction","2022","e-Energy 2022 - Proceedings of the 2022 13th ACM International Conference on Future Energy Systems","","","","552","555","3","13","10.1145/3538637.3539617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133933049&doi=10.1145%2f3538637.3539617&partnerID=40&md5=6c660ef9a9f6cc757c57a32dd4f699e6","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85133933049"
"Qin N.; Zhou Y.","Qin, Nianping (58821791600); Zhou, Yao (57195247717)","58821791600; 57195247717","Learning Compact Neural Network for Long-Term Time Series Forecasting","2023","2023 International Annual Conference on Complex Systems and Intelligent Science, CSIS-IAC 2023","","","","557","562","5","0","10.1109/CSIS-IAC60628.2023.10364022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182739702&doi=10.1109%2fCSIS-IAC60628.2023.10364022&partnerID=40&md5=ed9a310bb8aa452b81f3189eeca40f5e","Conference paper","Final","","Scopus","2-s2.0-85182739702"
"Wu Z.; Yang C.","Wu, Zhanhong (57218597750); Yang, Cuili (57131567200)","57218597750; 57131567200","Design of echo state network with multi-objective optimization algorithm and l1regularization","2022","Proceedings of the 34th Chinese Control and Decision Conference, CCDC 2022","","","","2602","2606","4","0","10.1109/CCDC55256.2022.10033775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149503008&doi=10.1109%2fCCDC55256.2022.10033775&partnerID=40&md5=c54755cc905b88cf15c7efef24799ed1","Conference paper","Final","","Scopus","2-s2.0-85149503008"
"Souza P.V.C.; Torres L.C.B.; Silva G.R.L.; Braga A.P.; Lughofer E.","Souza, Paulo Vitor de Campos (57218164676); Torres, Luiz Carlos Bambirra (55418917500); Silva, Gustavo Rodrigues Lacerda (57196027241); Braga, Antonio de Padua (57190029222); Lughofer, Edwin (6506767029)","57218164676; 55418917500; 57196027241; 57190029222; 6506767029","An advanced pruning method in the architecture of extreme learning machines using l1-regularization and bootstrapping","2020","Electronics (Switzerland)","9","5","811","","","","17","10.3390/electronics9050811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085158794&doi=10.3390%2felectronics9050811&partnerID=40&md5=f39d88c4ad14fa65f42275cdd03df414","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085158794"
"Kim K.J.; Kim D.","Kim, Ki Jong (58030541300); Kim, Daegyoum (39961549300)","58030541300; 39961549300","Prediction of sloshing pressure using image-based deep learning","2024","Ocean Engineering","303","","117718","","","","1","10.1016/j.oceaneng.2024.117718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189745180&doi=10.1016%2fj.oceaneng.2024.117718&partnerID=40&md5=e5cf08e0792e26643989cac1f5122b5f","Article","Final","","Scopus","2-s2.0-85189745180"
