"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yang S.; Gao J.; Yuan Y.; Zhou J.; Meng L.","Yang, Shuai (57215371384); Gao, Jianxiong (56642146300); Yuan, Yiping (10044569000); Zhou, Jianxing (14009073500); Meng, Lingchao (59090425200)","57215371384; 56642146300; 10044569000; 14009073500; 59090425200","Prediction of Wind Turbine Blade Stiffness Degradation Based on Improved Neural Basis Expansion Analysis","2025","Applied Sciences (Switzerland)","15","4","1884","","","","0","10.3390/app15041884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218468726&doi=10.3390%2fapp15041884&partnerID=40&md5=e6b4ef010b3fef6ccad7b6ebc4b80c1a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218468726"
"Li H.; Cui Y.; Wang S.; Liu J.; Qin J.; Yang Y.","Li, Hui (58742085300); Cui, Yunpeng (23970197600); Wang, Shuo (57192102600); Liu, Juan (57196291640); Qin, Jinyuan (57685540300); Yang, Yilin (57217524777)","58742085300; 23970197600; 57192102600; 57196291640; 57685540300; 57217524777","Multivariate Financial Time-Series Prediction with Certified Robustness","2020","IEEE Access","8","","9113475","109133","109143","10","17","10.1109/ACCESS.2020.3001287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087336295&doi=10.1109%2fACCESS.2020.3001287&partnerID=40&md5=6b5261e124330e481a6bcd9aa264c8eb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85087336295"
"EskandariNasab M.; Hamdi S.M.; Filali Boubrahimi S.","EskandariNasab, MohammadReza (58886299300); Hamdi, Shah Muhammad (57192205976); Filali Boubrahimi, Soukaina (57192204690)","58886299300; 57192205976; 57192204690","Impacts of Data Preprocessing and Sampling Techniques on Solar Flare Prediction from Multivariate Time Series Data of Photospheric Magnetic Field Parameters","2024","Astrophysical Journal, Supplement Series","275","1","6","","","","2","10.3847/1538-4365/ad7c4a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205889855&doi=10.3847%2f1538-4365%2fad7c4a&partnerID=40&md5=318f2c517ba6996c0998a1d30bc52667","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205889855"
"Ahmed S.U.; Shahjahan Md.; Murase K.","Ahmed, Sultan Uddin (55456829000); Shahjahan, Md. (57203216513); Murase, Kazuyuki (7202041770)","55456829000; 57203216513; 7202041770","Injecting chaos in feedforward neural networks","2011","Neural Processing Letters","34","1","","87","100","13","18","10.1007/s11063-011-9185-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052676823&doi=10.1007%2fs11063-011-9185-x&partnerID=40&md5=7dc313edaaf7a867f36720eab174828e","Article","Final","","Scopus","2-s2.0-80052676823"
"Zhang G.P.","Zhang, G. Peter (7405269055)","7405269055","A neural network ensemble method with jittered training data for time series forecasting","2007","Information Sciences","177","23","","5329","5346","17","159","10.1016/j.ins.2007.06.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548619946&doi=10.1016%2fj.ins.2007.06.015&partnerID=40&md5=a8b45b9ba7e8b2818cee11773d5b2eaa","Article","Final","","Scopus","2-s2.0-34548619946"
"Gallup E.R.; Tuttle J.; Powell K.M.","Gallup, Ethan R. (57746744800); Tuttle, Jake (57194337220); Powell, Kody M. (51461952600)","57746744800; 57194337220; 51461952600","Effects of input gradient regularization on neural networks time-series forecasting of thermal power systems","2024","Computers and Chemical Engineering","189","","108787","","","","0","10.1016/j.compchemeng.2024.108787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198117769&doi=10.1016%2fj.compchemeng.2024.108787&partnerID=40&md5=6309fcb3f415eb53aa6fd65c46473f0a","Article","Final","","Scopus","2-s2.0-85198117769"
"Nazeri A.; Biroon R.; Pisu P.; Schoenwald D.","Nazeri, Amirhossein (57549606200); Biroon, Roghieh (57203655027); Pisu, Pierluigi (57206310268); Schoenwald, David (6701817058)","57549606200; 57203655027; 57206310268; 6701817058","Design, Detection, and Countermeasure of Frequency Spectrum Attack and Its Impact on Long Short-Term Memory Load Forecasting and Microgrid Energy Management †","2024","Energies","17","4","868","","","","1","10.3390/en17040868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185710136&doi=10.3390%2fen17040868&partnerID=40&md5=697887ddb676ff791c213eef9cda00ae","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185710136"
"Wang S.; Qin J.; Rudolph C.; Nepal S.; Grobler M.","Wang, Shuo (57192102600); Qin, Jinyuan (57685540300); Rudolph, Carsten (36696969600); Nepal, Surya (14029165900); Grobler, Marthie (36622082600)","57192102600; 57685540300; 36696969600; 14029165900; 36622082600","R-Net: Robustness Enhanced Financial Time-Series Prediction with Differential Privacy","2022","Proceedings of the International Joint Conference on Neural Networks","2022-July","","","","","","2","10.1109/IJCNN55064.2022.9892663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140742447&doi=10.1109%2fIJCNN55064.2022.9892663&partnerID=40&md5=9e05a466f3102cf05d9995cec5f3b26f","Conference paper","Final","","Scopus","2-s2.0-85140742447"
"Singh S.","Singh, Sameer (57202910563)","57202910563","Noise impact on time-series forecasting using an intelligent pattern matching technique","1999","Pattern Recognition","32","8","","1389","1398","9","47","10.1016/S0031-3203(98)00174-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032635903&doi=10.1016%2fS0031-3203%2898%2900174-5&partnerID=40&md5=58e0daffcf9ab2dc9cff61902a9788ff","Article","Final","","Scopus","2-s2.0-0032635903"
