"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Peng T.; Zhao J.; Gu Y.; Di G.; Zhang L.; Cai J.","Peng, Tao (57212200473); Zhao, Jing (57281568800); Gu, Yidong (57222492063); Di, Gongye (58290646700); Zhang, Lei (57200226164); Cai, Jing (35067810800)","57212200473; 57281568800; 57222492063; 58290646700; 57200226164; 35067810800","Hybrid Intelligent-Annotation Organ Segmentation on Medical Datasets","2023","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","","","","4536","4541","5","0","10.1109/SMC53992.2023.10393875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187295380&doi=10.1109%2fSMC53992.2023.10393875&partnerID=40&md5=da1989b981ca0f0f75a1a277417aaf7a","Conference paper","Final","","Scopus","2-s2.0-85187295380"
"Stanojević M.; Drašković D.; Nikolić B.","Stanojević, Maša (58477299500); Drašković, Dražen (55030229200); Nikolić, Boško (7006055343)","58477299500; 55030229200; 7006055343","Retinal disease classification based on optical coherence tomography images using convolutional neural networks","2023","Journal of Electronic Imaging","32","3","032004","","","","10","10.1117/1.JEI.32.3.032004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164218224&doi=10.1117%2f1.JEI.32.3.032004&partnerID=40&md5=bbffd2d9b6579577786acfc2fc23b418","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85164218224"
"Cahyanto K.A.; Yani M.; Rendi; Kustiyo A.; Haryanto T.","Cahyanto, Kurnia Adi (57431232200); Yani, Mohammad (55613532100); Rendi (58783516000); Kustiyo, Aziz (56049343600); Haryanto, Toto (57193869197)","57431232200; 55613532100; 58783516000; 56049343600; 57193869197","The Effects of L2 Regularization in EfficientNet for Human Skin Disease Multi-Class Classification","2023","Proceedings - 2023 6th International Conference on Computer and Informatics Engineering: AI Trust, Risk and Security Management (AI Trism), IC2IE 2023","","","","262","265","3","0","10.1109/IC2IE60547.2023.10331108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180815467&doi=10.1109%2fIC2IE60547.2023.10331108&partnerID=40&md5=fca20e6ca81f81e3513bc2f79c81619c","Conference paper","Final","","Scopus","2-s2.0-85180815467"
"Naralasetti V.; Shaik R.K.; Katepalli G.; Bodapati J.D.","Naralasetti, Veeranjaneyulu (56195255000); Shaik, Reshmi Khadherbhi (57226506591); Katepalli, Gayatri (57216287971); Bodapati, Jyostna Devi (57209269087)","56195255000; 57226506591; 57216287971; 57209269087","Deep learning models for Pneumonia identification and classification based on X-ray images","2021","Traitement du Signal","38","3","","903","909","6","12","10.18280/ts.380337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111748355&doi=10.18280%2fts.380337&partnerID=40&md5=e2ef161eadb380b6ab79097424db63e3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85111748355"
"Tanimu J.J.; Hamada M.; Hassan M.; Samson T.J.; Parah J.S.","Tanimu, Jesse Jeremiah (57437457600); Hamada, Mohamed (8365771800); Hassan, Mohammed (57188820564); Samson, Tsentob Joy (59379970600); Parah, Jane Simon (59379364700)","57437457600; 8365771800; 57188820564; 59379970600; 59379364700","A Regularized CNN Approach for Detecting Cervical Cancer","2024","AIP Conference Proceedings","3220","1","030002","","","","1","10.1063/5.0235521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207212897&doi=10.1063%2f5.0235521&partnerID=40&md5=94013886f85b8d6496919ea29ca19fc0","Conference paper","Final","","Scopus","2-s2.0-85207212897"
"Zhao Y.; Zhang Z.; Wu N.; Zhang Z.; Xu X.","Zhao, Yun (35308262200); Zhang, Zixin (59309764800); Wu, Na (57204517338); Zhang, Zhang (59168862400); Xu, Xing (56707732700)","35308262200; 59309764800; 57204517338; 59168862400; 56707732700","MAFDE-DN4: Improved Few-shot plant disease classification method based on Deep Nearest Neighbor Neural Network","2024","Computers and Electronics in Agriculture","226","","109373","","","","0","10.1016/j.compag.2024.109373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202822236&doi=10.1016%2fj.compag.2024.109373&partnerID=40&md5=f15c36b747d09c0d287ad569cf1af3e4","Article","Final","","Scopus","2-s2.0-85202822236"
"Yu S.","Yu, Sifan (59094317300)","59094317300","Image Classification and Hyperparameter Analysis based on Joint CNN and Improved Strategy","2023","ACM International Conference Proceeding Series","","","","380","385","5","0","10.1145/3641343.3641420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192542326&doi=10.1145%2f3641343.3641420&partnerID=40&md5=eb5228847fb3833b860869b1bb539998","Conference paper","Final","","Scopus","2-s2.0-85192542326"
"ZIv Y.; Goldberger J.; Riklin Raviv T.","ZIv, Yael (56966360500); Goldberger, Jacob (7005511043); Riklin Raviv, Tammy (14039601200)","56966360500; 7005511043; 14039601200","Stochastic weight pruning and the role of regularization in shaping network structure","2021","Neurocomputing","462","","","555","567","12","4","10.1016/j.neucom.2021.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113274103&doi=10.1016%2fj.neucom.2021.08.007&partnerID=40&md5=35d80132f08129bf82b9eaa2b347c082","Article","Final","","Scopus","2-s2.0-85113274103"
"Adhikari N.; Bhattacharya S.; Sultana M.","Adhikari, Nilanjana (57346986900); Bhattacharya, Suman (57213819534); Sultana, Mahamuda (55609436300)","57346986900; 57213819534; 55609436300","A modified ResNet152v2 framework for bird species classification","2024","Innovations in Systems and Software Engineering","","","","","","","0","10.1007/s11334-024-00583-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206817648&doi=10.1007%2fs11334-024-00583-0&partnerID=40&md5=9989caa4028b5a39b59311de008da28a","Article","Article in press","","Scopus","2-s2.0-85206817648"
"Kalpana R.; Bennet M.A.; Soumya K.; Joshi K.; Ibrahim W.K.; Alazzam M.B.","Kalpana, R. (57195347671); Bennet, M. Anto (57210316009); Soumya, K. (57216768059); Joshi, Kapil (57209511667); Ibrahim, Waleed Khalid (58205220800); Alazzam, Malik Bader (56814920200)","57195347671; 57210316009; 57216768059; 57209511667; 58205220800; 56814920200","An Image Feature Extraction Approach Using a Randomized Deep Neural Network Algorithm","2023","2023 4th International Conference on Computation, Automation and Knowledge Management, ICCAKM 2023","","","","","","","0","10.1109/ICCAKM58659.2023.10449589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187555030&doi=10.1109%2fICCAKM58659.2023.10449589&partnerID=40&md5=f98ac79c0f1dd3d9e3241084a35b10e0","Conference paper","Final","","Scopus","2-s2.0-85187555030"
"Xu H.; Yu Y.; Chang J.; Hu X.; Tian Z.; Li O.","Xu, Hua (57224894040); Yu, Yuanyuan (57190683343); Chang, Jie (59308992800); Hu, Xifeng (57682800500); Tian, Zitong (59310013300); Li, Ouwen (59309336700)","57224894040; 57190683343; 59308992800; 57682800500; 59310013300; 59309336700","Precision lung cancer screening from CT scans using a VGG16-based convolutional neural network","2024","Frontiers in Oncology","14","","1424546","","","","0","10.3389/fonc.2024.1424546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202853775&doi=10.3389%2ffonc.2024.1424546&partnerID=40&md5=009ab61a382280c0f34bf1f7b6c5e48a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85202853775"
"Ravikiran H.K.; Ravi L.S.; Madhu K.M.; Bindu K.; Farzana Praveen B.A.; Tanuja T.","Ravikiran, H.K. (57208675007); Ravi, L.S. (58650627600); Madhu, K.M. (58667979900); Bindu, K. (58822774600); Farzana Praveen, B.A. (58651311000); Tanuja, T. (58651086900)","57208675007; 58650627600; 58667979900; 58822774600; 58651311000; 58651086900","Study on VGG16 Transfer learning Model for Goat/Sheep Image Classification","2023","International Conference on Recent Advances in Science and Engineering Technology, ICRASET 2023","","","","","","","1","10.1109/ICRASET59632.2023.10420202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186088592&doi=10.1109%2fICRASET59632.2023.10420202&partnerID=40&md5=19a8bc550311bd9c488296a260dc1591","Conference paper","Final","","Scopus","2-s2.0-85186088592"
"Tursynova A.; Ualiyev N.; Sakhipov A.; Omirzak I.; Tulebayev Y.; Seitenov A.","Tursynova, Azhar (57222725276); Ualiyev, Nurzhan (57192313270); Sakhipov, Aivar (57484294500); Omirzak, Islam (57221968454); Tulebayev, Yersultan (57201700789); Seitenov, Altynbek (59309106900)","57222725276; 57192313270; 57484294500; 57221968454; 57201700789; 59309106900","Enhanced UNet Approach for Detecting Stroke Lesions in Computed Tomography Brain Scans","2024","SIST 2024 - 2024 IEEE 4th International Conference on Smart Information Systems and Technologies, Proceedings","","","","334","339","5","0","10.1109/SIST61555.2024.10629549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202882011&doi=10.1109%2fSIST61555.2024.10629549&partnerID=40&md5=d47e2cc0ebb0c8bba3f218dc4db5ff5c","Conference paper","Final","","Scopus","2-s2.0-85202882011"
